Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
QB,1,Justin Herbert,LAC,ARI,21.8,18.23,35,0.623,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,2,Joe Burrow,CIN,TB,21.38,17.43,38,0.563,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,3,Lamar Jackson,BAL,IND,21.12,17.07,36,0.587,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,4,Jalen Hurts,PHI,WAS,21.1,18.66,36,0.586,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,5,Josh Allen,BUF,HOU,20.87,23.82,39,0.535,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,6,Dak Prescott,DAL,NYG,19.99,19.05,36,0.555,starter,QB slot 9,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,7,Trevor Lawrence,JAC,CLE,19.71,20.64,37,0.533,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,8,Jaxson Dart,NYG,DAL,19.4,17.61,35,0.554,starter,QB slot 9,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,9,Caleb Williams,CHI,CAR,19.22,19.36,37,0.519,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,10,Brock Purdy,SF,LA,19.16,22.1,27,0.71,starter,QB slot 9,1,2026-09-11 00:35,70% FPPG + 30% salary prior
QB,11,Kyler Murray,MIN,GB,19.05,16.16,30,0.635,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,12,Baker Mayfield,TB,CIN,18.36,16.64,33,0.556,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,13,Jayden Daniels,WAS,PHI,18.12,16.75,32,0.566,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,14,Patrick Mahomes,KC,DEN,18.08,21.16,33,0.548,starter,QB slot 9,1,2026-09-15 00:15,market good: Bovada+Underdog
QB,15,Jordan Love,GB,MIN,18.0,16.95,34,0.529,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,16,Tyler Shough,NO,DET,17.99,14.91,30,0.6,starter,QB slot 9,1,2026-09-13 17:00,market good 80% audit: Bovada+Underdog
QB,17,Jared Goff,DET,NO,17.88,17.94,35,0.511,starter,QB slot 9,1,2026-09-13 17:00,70% FPPG + 30% salary prior; market missing: rushing_yards
